ID,nb_visits,entry_nb_visits,exit_nb_visits
http://calenda.org/387252,128,68.0,73.0
http://calenda.org/400344,128,67.0,70.0
http://calenda.org/388446,127,58.0,63.0
http://calenda.org/392945,127,69.0,77.0
http://calenda.org/395925,127,64.0,67.0
http://calenda.org/387225,126,51.0,58.0
http://calenda.org/392363,126,66.0,76.0
http://calenda.org/399168,126,97.0,93.0
http://calenda.org/391391,125,63.0,70.0
http://calenda.org/392186,125,39.0,57.0
http://calenda.org/386087,124,91.0,93.0
http://calenda.org/387522,124,58.0,64.0
http://calenda.org/388080,124,55.0,58.0
http://calenda.org/398013,124,60.0,69.0
http://calenda.org/390687,123,54.0,59.0
http://calenda.org/396236,123,41.0,49.0
http://calenda.org/390210,122,40.0,58.0
http://calenda.org/397380,122,53.0,55.0
http://calenda.org/387715,121,38.0,42.0
http://calenda.org/389402,121,96.0,100.0
http://calenda.org/392353,121,49.0,62.0
http://calenda.org/401740,121,44.0,53.0
http://calenda.org/390650,120,54.0,65.0
http://calenda.org/391369,120,53.0,70.0
http://calenda.org/392543,120,73.0,74.0
http://calenda.org/394812,120,59.0,64.0
http://calenda.org/389290,119,39.0,46.0
http://calenda.org/390966,119,62.0,62.0
http://calenda.org/395732,119,88.0,91.0
http://calenda.org/400026,119,74.0,81.0
http://calenda.org/400906,119,74.0,71.0
http://calenda.org/401033,119,91.0,86.0
http://calenda.org/391797,118,50.0,52.0
http://calenda.org/395412,118,87.0,88.0
http://calenda.org/399858,118,87.0,87.0
http://calenda.org/388109,117,34.0,41.0
http://calenda.org/389315,117,28.0,42.0
http://calenda.org/392757,117,62.0,69.0
http://calenda.org/399721,117,68.0,77.0
http://calenda.org/400090,117,70.0,72.0
http://calenda.org/389707,116,38.0,49.0
http://calenda.org/394149,116,44.0,59.0
http://calenda.org/396559,116,70.0,73.0
http://calenda.org/397728,116,37.0,49.0
http://calenda.org/391204,115,29.0,44.0
http://calenda.org/398672,115,52.0,59.0
http://calenda.org/399273,115,92.0,86.0
http://calenda.org/196279,114,113.0,113.0
http://calenda.org/394168,114,41.0,47.0
http://calenda.org/397533,114,84.0,87.0
http://calenda.org/392320,113,87.0,88.0
http://calenda.org/393709,113,38.0,41.0
http://calenda.org/399041,113,47.0,35.0
